unique_id,Item_ID,sentence,sentence_type,context,context_prime,ground_truth,indexical,question,non-shifted_option,shifted_option,renamed_sentence,name_mapping,gender
11,3,"Chris thinks ""I will bake a delicious cake for the party"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has tasted my baking before and always compliments my culinary skills. There's a big party coming up this weekend.,non-shifted,shifted,I,"According to the last sentence, who will bake a delicious cake for the party?",Matthew,Carl,"Hi! I am Matthew. I am a graduate student and I live in Los Angeles. I have a friend named Carl. Carl has tasted my baking before and always compliments my culinary skills. There's a big party coming up this weekend. Carl thinks ""I will bake a delicious cake for the party"".","Andrew -> Matthew
Chris -> Carl",male
12,3,"Chris thinks ""I will bake a delicious cake for the party"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is an accomplished baker and often gets asked to make desserts for events. There's a big party coming up this weekend.,shifted,shifted,I,"According to the last sentence, who will bake a delicious cake for the party?",Matthew,Carl,"Hi! I am Matthew. I am a graduate student and I live in Los Angeles. I have a friend named Carl. Carl is an accomplished baker and often gets asked to make desserts for events. There's a big party coming up this weekend. Carl thinks ""I will bake a delicious cake for the party"".","Andrew -> Matthew
Chris -> Carl",male
13,4,Chris thinks that I will paint a beautiful mural for the community project.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen my artwork before and always admires my creativity and artistic skills. We are planning a community project that involves painting a mural next month.,non-shifted,non-shifted,I,"According to the last sentence, who will paint a beautiful mural for the community project?",Benjamin,Dennis,Hi! I am Benjamin. I am a graduate student and I live in Los Angeles. I have a friend named Dennis. Dennis has seen my artwork before and always admires my creativity and artistic skills. We are planning a community project that involves painting a mural next month. Dennis thinks that I will paint a beautiful mural for the community project.,"Andrew -> Benjamin
Chris -> Dennis",male
14,4,Chris thinks that I will paint a beautiful mural for the community project.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is renowned for his artistic talent and often gets invited to create murals for local projects. We are planning a community project that involves painting a mural next month.,shifted,non-shifted,I,"According to the last sentence, who will paint a beautiful mural for the community project?",Benjamin,Dennis,Hi! I am Benjamin. I am a graduate student and I live in Los Angeles. I have a friend named Dennis. Dennis is renowned for his artistic talent and often gets invited to create murals for local projects. We are planning a community project that involves painting a mural next month. Dennis thinks that I will paint a beautiful mural for the community project.,"Andrew -> Benjamin
Chris -> Dennis",male
15,4,"Chris thinks ""I will paint a beautiful mural for the community project"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen my artwork before and always admires my creativity and artistic skills. We are planning a community project that involves painting a mural next month.,non-shifted,shifted,I,"According to the last sentence, who will paint a beautiful mural for the community project?",Benjamin,Dennis,"Hi! I am Benjamin. I am a graduate student and I live in Los Angeles. I have a friend named Dennis. Dennis has seen my artwork before and always admires my creativity and artistic skills. We are planning a community project that involves painting a mural next month. Dennis thinks ""I will paint a beautiful mural for the community project"".","Andrew -> Benjamin
Chris -> Dennis",male
16,4,"Chris thinks ""I will paint a beautiful mural for the community project"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is renowned for his artistic talent and often gets invited to create murals for local projects. We are planning a community project that involves painting a mural next month.,shifted,shifted,I,"According to the last sentence, who will paint a beautiful mural for the community project?",Benjamin,Dennis,"Hi! I am Benjamin. I am a graduate student and I live in Los Angeles. I have a friend named Dennis. Dennis is renowned for his artistic talent and often gets invited to create murals for local projects. We are planning a community project that involves painting a mural next month. Dennis thinks ""I will paint a beautiful mural for the community project"".","Andrew -> Benjamin
Chris -> Dennis",male
17,5,Chris thinks that I will write an engaging article for the school magazine.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is aware of my talent for writing and often commends the articles I contribute to the school magazine. Our next magazine issue is due soon.,non-shifted,non-shifted,I,"According to the last sentence, who will write an engaging article for the school magazine?",Joe,Charles,Hi! I am Joe. I am a graduate student and I live in Los Angeles. I have a friend named Charles. Charles is aware of my talent for writing and often commends the articles I contribute to the school magazine. Our next magazine issue is due soon. Charles thinks that I will write an engaging article for the school magazine.,"Andrew -> Joe
Chris -> Charles",male
18,5,Chris thinks that I will write an engaging article for the school magazine.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris frequently writes articles that receive a lot of positive feedback and is often featured in the magazine. Our next magazine issue is due soon.,shifted,non-shifted,I,"According to the last sentence, who will write an engaging article for the school magazine?",Joe,Charles,Hi! I am Joe. I am a graduate student and I live in Los Angeles. I have a friend named Charles. Charles frequently writes articles that receive a lot of positive feedback and is often featured in the magazine. Our next magazine issue is due soon. Charles thinks that I will write an engaging article for the school magazine.,"Andrew -> Joe
Chris -> Charles",male
19,5,"Chris thinks ""I will write an engaging article for the school magazine"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is aware of my talent for writing and often commends the articles I contribute to the school magazine. Our next magazine issue is due soon.,non-shifted,shifted,I,"According to the last sentence, who will write an engaging article for the school magazine?",Joe,Charles,"Hi! I am Joe. I am a graduate student and I live in Los Angeles. I have a friend named Charles. Charles is aware of my talent for writing and often commends the articles I contribute to the school magazine. Our next magazine issue is due soon. Charles thinks ""I will write an engaging article for the school magazine"".","Andrew -> Joe
Chris -> Charles",male
20,5,"Chris thinks ""I will write an engaging article for the school magazine"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris frequently writes articles that receive a lot of positive feedback and is often featured in the magazine. Our next magazine issue is due soon.,shifted,shifted,I,"According to the last sentence, who will write an engaging article for the school magazine?",Joe,Charles,"Hi! I am Joe. I am a graduate student and I live in Los Angeles. I have a friend named Charles. Charles frequently writes articles that receive a lot of positive feedback and is often featured in the magazine. Our next magazine issue is due soon. Charles thinks ""I will write an engaging article for the school magazine"".","Andrew -> Joe
Chris -> Charles",male
21,6,Chris thinks that I will deliver an outstanding performance in the school play.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen me act before and always compliments my theatrical talent. The school play is scheduled for next week.,non-shifted,non-shifted,I,"According to the last sentence, who will deliver an outstanding performance in the school play?",Jerry,Andrew,Hi! I am Jerry. I am a graduate student and I live in Los Angeles. I have a friend named Jerry. Jerry has seen me act before and always compliments my theatrical talent. The school play is scheduled for next week. Jerry thinks that I will deliver an outstanding performance in the school play.,"Andrew -> Jerry
Chris -> Andrew",male
22,6,Chris thinks that I will deliver an outstanding performance in the school play.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is a seasoned actor who often takes the lead roles and receives accolades for his performances. The school play is scheduled for next week.,shifted,non-shifted,I,"According to the last sentence, who will deliver an outstanding performance in the school play?",Jerry,Andrew,Hi! I am Jerry. I am a graduate student and I live in Los Angeles. I have a friend named Jerry. Jerry is a seasoned actor who often takes the lead roles and receives accolades for his performances. The school play is scheduled for next week. Jerry thinks that I will deliver an outstanding performance in the school play.,"Andrew -> Jerry
Chris -> Andrew",male
23,6,"Chris thinks ""I will deliver an outstanding performance in the school play"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen me act before and always compliments my theatrical talent. The school play is scheduled for next week.,non-shifted,shifted,I,"According to the last sentence, who will deliver an outstanding performance in the school play?",Jerry,Andrew,"Hi! I am Jerry. I am a graduate student and I live in Los Angeles. I have a friend named Jerry. Jerry has seen me act before and always compliments my theatrical talent. The school play is scheduled for next week. Jerry thinks ""I will deliver an outstanding performance in the school play"".","Andrew -> Jerry
Chris -> Andrew",male
24,6,"Chris thinks ""I will deliver an outstanding performance in the school play"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is a seasoned actor who often takes the lead roles and receives accolades for his performances. The school play is scheduled for next week.,shifted,shifted,I,"According to the last sentence, who will deliver an outstanding performance in the school play?",Jerry,Andrew,"Hi! I am Jerry. I am a graduate student and I live in Los Angeles. I have a friend named Jerry. Jerry is a seasoned actor who often takes the lead roles and receives accolades for his performances. The school play is scheduled for next week. Jerry thinks ""I will deliver an outstanding performance in the school play"".","Andrew -> Jerry
Chris -> Andrew",male
25,7,Chris thinks that I will host an impressive dinner party next weekend.,non-quot,"Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris often raves about my cooking and hosting skills, and he's attended many of my events before. I am planning to host a dinner party next weekend.",non-shifted,non-shifted,I,"According to the last sentence, who will host an impressive dinner party next weekend?",Jean,Kayla,"Hi! I am Jean. I am a graduate student and I live in Los Angeles. I have a friend named Kayla. Kayla often raves about my cooking and hosting skills, and he's attended many of my events before. I am planning to host a dinner party next weekend. Kayla thinks that I will host an impressive dinner party next weekend.","Andrew -> Jean
Chris -> Kayla",female
26,7,Chris thinks that I will host an impressive dinner party next weekend.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is well-known for his exquisite dinner parties and has a reputation for being a great host. I am planning to host a dinner party next weekend.,shifted,non-shifted,I,"According to the last sentence, who will host an impressive dinner party next weekend?",Jean,Kayla,Hi! I am Jean. I am a graduate student and I live in Los Angeles. I have a friend named Kayla. Kayla is well-known for her exquisite dinner parties and has a reputation for being a great host. I am planning to host a dinner party next weekend. Kayla thinks that I will host an impressive dinner party next weekend.,"Andrew -> Jean
Chris -> Kayla",female
27,7,"Chris thinks ""I will host an impressive dinner party next weekend"".",quotation,"Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris often raves about my cooking and hosting skills, and he's attended many of my events before. I am planning to host a dinner party next weekend.",non-shifted,shifted,I,"According to the last sentence, who will host an impressive dinner party next weekend?",Jean,Kayla,"Hi! I am Jean. I am a graduate student and I live in Los Angeles. I have a friend named Kayla. Kayla often raves about my cooking and hosting skills, and he's attended many of my events before. I am planning to host a dinner party next weekend. Kayla thinks ""I will host an impressive dinner party next weekend"".","Andrew -> Jean
Chris -> Kayla",female
28,7,"Chris thinks ""I will host an impressive dinner party next weekend"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is well-known for his exquisite dinner parties and has a reputation for being a great host. I am planning to host a dinner party next weekend.,shifted,shifted,I,"According to the last sentence, who will host an impressive dinner party next weekend?",Jean,Kayla,"Hi! I am Jean. I am a graduate student and I live in Los Angeles. I have a friend named Kayla. Kayla is well-known for her exquisite dinner parties and has a reputation for being a great host. I am planning to host a dinner party next weekend. Kayla thinks ""I will host an impressive dinner party next weekend"".","Andrew -> Jean
Chris -> Kayla",female
29,8,Chris thinks that I will solve the complex math problem before anyone else.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris knows that I have a knack for mathematics and am often the first to finish these complex problems in our study group. We're facing a particularly challenging math problem this week.,non-shifted,non-shifted,I,"According to the last sentence, who will solve the complex math problem before anyone else?",Roger,Ryan,Hi! I am Roger. I am a graduate student and I live in Los Angeles. I have a friend named Ryan. Ryan knows that I have a knack for mathematics and am often the first to finish these complex problems in our study group. We're facing a particularly challenging math problem this week. Ryan thinks that I will solve the complex math problem before anyone else.,"Andrew -> Roger
Chris -> Ryan",male
30,8,Chris thinks that I will solve the complex math problem before anyone else.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for being a math whiz and consistently outperforms everyone in solving challenging problems quickly. We're facing a particularly challenging math problem this week.,shifted,non-shifted,I,"According to the last sentence, who will solve the complex math problem before anyone else?",Roger,Ryan,Hi! I am Roger. I am a graduate student and I live in Los Angeles. I have a friend named Ryan. Ryan is known for being a math whiz and consistently outperforms everyone in solving challenging problems quickly. We're facing a particularly challenging math problem this week. Ryan thinks that I will solve the complex math problem before anyone else.,"Andrew -> Roger
Chris -> Ryan",male
31,8,"Chris thinks ""I will solve the complex math problem before anyone else"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris knows that I have a knack for mathematics and am often the first to finish these complex problems in our study group. We're facing a particularly challenging math problem this week.,non-shifted,shifted,I,"According to the last sentence, who will solve the complex math problem before anyone else?",Roger,Ryan,"Hi! I am Roger. I am a graduate student and I live in Los Angeles. I have a friend named Ryan. Ryan knows that I have a knack for mathematics and am often the first to finish these complex problems in our study group. We're facing a particularly challenging math problem this week. Ryan thinks ""I will solve the complex math problem before anyone else"".","Andrew -> Roger
Chris -> Ryan",male
32,8,"Chris thinks ""I will solve the complex math problem before anyone else"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for being a math whiz and consistently outperforms everyone in solving challenging problems quickly. We're facing a particularly challenging math problem this week.,shifted,shifted,I,"According to the last sentence, who will solve the complex math problem before anyone else?",Roger,Ryan,"Hi! I am Roger. I am a graduate student and I live in Los Angeles. I have a friend named Ryan. Ryan is known for being a math whiz and consistently outperforms everyone in solving challenging problems quickly. We're facing a particularly challenging math problem this week. Ryan thinks ""I will solve the complex math problem before anyone else"".","Andrew -> Roger
Chris -> Ryan",male
33,9,Chris thinks that I will compose a beautiful melody for the music competition.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris appreciates my musical talent and has always admired the songs I've created. There is a music competition coming up next week.,non-shifted,non-shifted,I,"According to the last sentence, who will compose a beautiful melody for the music competition?",Henry,Daniel,Hi! I am Henry. I am a graduate student and I live in Los Angeles. I have a friend named Daniel. Daniel appreciates my musical talent and has always admired the songs I've created. There is a music competition coming up next week. Daniel thinks that I will compose a beautiful melody for the music competition.,"Andrew -> Henry
Chris -> Daniel",male
34,9,Chris thinks that I will compose a beautiful melody for the music competition.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his exceptional ability to compose music and often wins at these competitions. There is a music competition coming up next week.,shifted,non-shifted,I,"According to the last sentence, who will compose a beautiful melody for the music competition?",Henry,Daniel,Hi! I am Henry. I am a graduate student and I live in Los Angeles. I have a friend named Daniel. Daniel is known for his exceptional ability to compose music and often wins at these competitions. There is a music competition coming up next week. Daniel thinks that I will compose a beautiful melody for the music competition.,"Andrew -> Henry
Chris -> Daniel",male
35,9,"Chris thinks ""I will compose a beautiful melody for the music competition"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris appreciates my musical talent and has always admired the songs I've created. There is a music competition coming up next week.,non-shifted,shifted,I,"According to the last sentence, who will compose a beautiful melody for the music competition?",Henry,Daniel,"Hi! I am Henry. I am a graduate student and I live in Los Angeles. I have a friend named Daniel. Daniel appreciates my musical talent and has always admired the songs I've created. There is a music competition coming up next week. Daniel thinks ""I will compose a beautiful melody for the music competition"".","Andrew -> Henry
Chris -> Daniel",male
36,9,"Chris thinks ""I will compose a beautiful melody for the music competition"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his exceptional ability to compose music and often wins at these competitions. There is a music competition coming up next week.,shifted,shifted,I,"According to the last sentence, who will compose a beautiful melody for the music competition?",Henry,Daniel,"Hi! I am Henry. I am a graduate student and I live in Los Angeles. I have a friend named Daniel. Daniel is known for his exceptional ability to compose music and often wins at these competitions. There is a music competition coming up next week. Daniel thinks ""I will compose a beautiful melody for the music competition"".","Andrew -> Henry
Chris -> Daniel",male
37,10,Chris thinks that I will organize an unforgettable charity event.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen my organizational skills in action and often praises my ability to bring people together for a good cause. We are planning a charity event next month.,non-shifted,non-shifted,I,"According to the last sentence, who will organize an unforgettable charity event?",Larry,Bobby,Hi! I am Larry. I am a graduate student and I live in Los Angeles. I have a friend named Bobby. Bobby has seen my organizational skills in action and often praises my ability to bring people together for a good cause. We are planning a charity event next month. Bobby thinks that I will organize an unforgettable charity event.,"Andrew -> Larry
Chris -> Bobby",male
38,10,Chris thinks that I will organize an unforgettable charity event.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his expertise in organizing successful events and frequently receives accolades for his charity work. We are planning a charity event next month.,shifted,non-shifted,I,"According to the last sentence, who will organize an unforgettable charity event?",Larry,Bobby,Hi! I am Larry. I am a graduate student and I live in Los Angeles. I have a friend named Bobby. Bobby is known for his expertise in organizing successful events and frequently receives accolades for his charity work. We are planning a charity event next month. Bobby thinks that I will organize an unforgettable charity event.,"Andrew -> Larry
Chris -> Bobby",male
39,10,"Chris thinks ""I will organize an unforgettable charity event"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has seen my organizational skills in action and often praises my ability to bring people together for a good cause. We are planning a charity event next month.,non-shifted,shifted,I,"According to the last sentence, who will organize an unforgettable charity event?",Larry,Bobby,"Hi! I am Larry. I am a graduate student and I live in Los Angeles. I have a friend named Bobby. Bobby has seen my organizational skills in action and often praises my ability to bring people together for a good cause. We are planning a charity event next month. Bobby thinks ""I will organize an unforgettable charity event"".","Andrew -> Larry
Chris -> Bobby",male
40,10,"Chris thinks ""I will organize an unforgettable charity event"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his expertise in organizing successful events and frequently receives accolades for his charity work. We are planning a charity event next month.,shifted,shifted,I,"According to the last sentence, who will organize an unforgettable charity event?",Larry,Bobby,"Hi! I am Larry. I am a graduate student and I live in Los Angeles. I have a friend named Bobby. Bobby is known for his expertise in organizing successful events and frequently receives accolades for his charity work. We are planning a charity event next month. Bobby thinks ""I will organize an unforgettable charity event"".","Andrew -> Larry
Chris -> Bobby",male
41,11,Chris thinks that I will successfully negotiate the business deal.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has witnessed my negotiation skills in past internships and often compliments my ability to close deals. There is an important business deal approaching next week.,non-shifted,non-shifted,I,"According to the last sentence, who will successfully negotiate the business deal?",Kevin,Justin,Hi! I am Kevin. I am a graduate student and I live in Los Angeles. I have a friend named Justin. Justin has witnessed my negotiation skills in past internships and often compliments my ability to close deals. There is an important business deal approaching next week. Justin thinks that I will successfully negotiate the business deal.,"Andrew -> Kevin
Chris -> Justin",male
42,11,Chris thinks that I will successfully negotiate the business deal.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has a strong reputation for negotiating tough deals and is frequently sought out for his expertise. There is an important business deal approaching next week.,shifted,non-shifted,I,"According to the last sentence, who will successfully negotiate the business deal?",Kevin,Justin,Hi! I am Kevin. I am a graduate student and I live in Los Angeles. I have a friend named Justin. Justin has a strong reputation for negotiating tough deals and is frequently sought out for his expertise. There is an important business deal approaching next week. Justin thinks that I will successfully negotiate the business deal.,"Andrew -> Kevin
Chris -> Justin",male
43,11,"Chris thinks ""I will successfully negotiate the business deal"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has witnessed my negotiation skills in past internships and often compliments my ability to close deals. There is an important business deal approaching next week.,non-shifted,shifted,I,"According to the last sentence, who will successfully negotiate the business deal?",Kevin,Justin,"Hi! I am Kevin. I am a graduate student and I live in Los Angeles. I have a friend named Justin. Justin has witnessed my negotiation skills in past internships and often compliments my ability to close deals. There is an important business deal approaching next week. Justin thinks ""I will successfully negotiate the business deal"".","Andrew -> Kevin
Chris -> Justin",male
44,11,"Chris thinks ""I will successfully negotiate the business deal"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has a strong reputation for negotiating tough deals and is frequently sought out for his expertise. There is an important business deal approaching next week.,shifted,shifted,I,"According to the last sentence, who will successfully negotiate the business deal?",Kevin,Justin,"Hi! I am Kevin. I am a graduate student and I live in Los Angeles. I have a friend named Justin. Justin has a strong reputation for negotiating tough deals and is frequently sought out for his expertise. There is an important business deal approaching next week. Justin thinks ""I will successfully negotiate the business deal"".","Andrew -> Kevin
Chris -> Justin",male
45,12,Chris thinks that I will lead the research team to success.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is aware of my leadership skills and has often seen me effectively guide teams to achieve their goals. We have an important research project coming up soon.,non-shifted,non-shifted,I,"According to the last sentence, who will lead the research team to success?",Joyce,Brenda,Hi! I am Joyce. I am a graduate student and I live in Los Angeles. I have a friend named Brenda. Brenda is aware of my leadership skills and has often seen me effectively guide teams to achieve their goals. We have an important research project coming up soon. Brenda thinks that I will lead the research team to success.,"Andrew -> Joyce
Chris -> Brenda",female
46,12,Chris thinks that I will lead the research team to success.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is renowned for his leadership abilities and frequently takes charge of major projects. We have an important research project coming up soon.,shifted,non-shifted,I,"According to the last sentence, who will lead the research team to success?",Joyce,Brenda,Hi! I am Joyce. I am a graduate student and I live in Los Angeles. I have a friend named Brenda. Brenda is renowned for her leadership abilities and frequently takes charge of major projects. We have an important research project coming up soon. Brenda thinks that I will lead the research team to success.,"Andrew -> Joyce
Chris -> Brenda",female
47,12,"Chris thinks ""I will lead the research team to success"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is aware of my leadership skills and has often seen me effectively guide teams to achieve their goals. We have an important research project coming up soon.,non-shifted,shifted,I,"According to the last sentence, who will lead the research team to success?",Joyce,Brenda,"Hi! I am Joyce. I am a graduate student and I live in Los Angeles. I have a friend named Brenda. Brenda is aware of my leadership skills and has often seen me effectively guide teams to achieve their goals. We have an important research project coming up soon. Brenda thinks ""I will lead the research team to success"".","Andrew -> Joyce
Chris -> Brenda",female
